,not_blank_or_descriptive_lines
3865,"""Be successful,"" that's what Dad told me
"
3866,"So everything I D-O, now I OD
"
3867,"They say G.O.O.D. Music like the new Miami Heat, shit
"
3868,"Comparin' them to us, man they gotta add Kobe
"
3869,"Whoadie, holy moley went, from G-Shockin' to Rollie
"
3870,"From the D, coppin' in Beverly Hills, I'm Axel Foley
"
3871,"Nah, nah, baby boy, you Jody, in the party, they all know me
"
3872,"Yeah, I saw your ass in line, boy, you was lookin' like the old me
"
3873,"Presidential suit, my girls Michelle and Chanel
"
3874,"She gave me designer, uh, she keep it au natural
"
3875,"I say it again, I'm chasin' cheese, dodgin' rat traps
"
3876,"Chasin' pussy you might end up with a Kat Stacks
"
3877,"Nasty trick, you's a nasty chick
"
3878,"Ooh, you know I like that nasty shit
"
3879,"Got it made in every way, gettin' paid every day
"
3880,"What Sean sound like, 'Ye protégé?
"
3881,"He sound like he a pro to me
"
3882,"""I know Kanye a jerk,"" how could you say that?
"
3883,"He rode me and my mama 'round in his Maybach
"
3884,"What kind of jerk is that? What kind of jerks is y'all?
"
3885,"Fuck it if he a jerk, I bet you jerk him off
"
3886,"Bet you take it off or chase him through the mall
"
3887,"We workin' twice as hard, so everything come in twos
"
3888,"Double drinks, double girls
"
3889,"We be gettin' paid like W-2
"
3890,"Rep Westside, throwin' up Ws
"
3891,"""We love you Sean,"" I love you too
"
3892,"Ooh-ooh, you know I do
"
3893,"Hey, feel like one of those old R. Kelly joints, right?
"
3894,"I bet they put me back on the cover of Ebony now
"
3895,"I know Jet magazine calling right now
"
3896,"You looking good today too, I like that
"
3897,"You got your new suit on and she got the extra cute on
"
3898,"I know you thinking, “This that Yeezy we all love”
"
3899,"I’m back, baby, we back, baby
"
3900,"Uncle Charlie, by the way
"
3901,"And I’ma let you finish, but I got Beyoncé on the track
"
3902,"That’s what it is
"
3903,"Black excellence, baby
"
3904,"This is the elite
"
3905,"We the greatest in the world baby, we the greatest in the world!!!
"
3906,"Hahahahaha
"
3907,"Yeah, Lex Luger, No ID, Yeezy
"
3908,"Uh
"
3909,"Why would she make calls out the blue?
"
3910,"Now I'm awake, sleep (Less in June) or (Missing you)
"
3911,"Hey, hey, hey, hey
"
3912,"Don't say you will, unless you will
"
3913,"Hey, hey, hey, hey
"
3914,"Don't say you will, then play you will, I pray you will
"
3915,"Mrs. So Fly crash-lands in my room
"
3916,"Can't waste no time, she might leave soon
"
3917,"Hey, hey, hey, hey
"
3918,"Don't say you will, you do
"
3919,"Hey, hey, hey, hey
"
3920,"Don't say you will, one day you will, I pray you will
"
3921,"When I grab your neck, I touch your soul
"
3922,"Take off your cool then lose control
"
3923,"Hey, hey, hey, hey
"
3924,"Don't say you will, you will, you will
"
3925,"Hey, hey, hey, hey
"
3926,"Don't say you will, if you will, I pray you will
"
3927,"I wish this song would really come true
"
3928,"I admit I still fantasize about you, about you
"
3929,"Hey, hey, hey, hey
"
3930,"Don't say you will, you will, you will
"
3931,"Hey, hey, hey, hey
"
3932,"Please say you will, for real, I pray you will
"
3933,"My friend showed me pictures of his kids
"
3934,"And all I could show him was pictures of my cribs
"
3935,"He said his daughter got a brand new report card, card
"
3936,"And all I got was a brand new sports car, oh
"
3937,"And my head keeps spinning
"
3938,"Can't stop having these visions
"
3939,"I gotta get with it (Ooh, ooh, oooh)
"
3940,"And my head keeps spinning
"
3941,"I can't stop having these visions
"
3942,"I gotta get with it (Ooh, ooh, oooh)
"
3943,"Dad cracked a joke, all the kids laughed
"
3944,"But I couldn't hear him all the way in first class
"
3945,"Chased the good life my whole life long
"
3946,"Look back on my life and my life gone
"
3947,"Where did I go wrong?
"
3948,"And my head keeps spinning
"
3949,"Can't stop having these visions
"
3950,"I gotta get with it (Ooh, ooh, oooh)
"
3951,"And my head keeps spinning
"
3952,"I can't stop having these visions
"
3953,"I gotta get with it (Ooh, ooh, oooh)
"
3954,"I've seen it, I've seen it before
"
3955,"I've seen it, I've seen it before
"
3956,"I've seen it, I've seen it before
"
3957,"I've seen it, I've seen it before
"
3958,"My god-sister getting married by the lake
"
3959,"But I couldn't figure out who I'd wanna take
"
3960,"Bad enough that I showed up late
"
3961,"I had to leave 'fore they even cut the cake
"
3962,"Welcome to heartbreak
"
3963,"And my head keeps spinning
"
3964,"Can't stop having these visions
"
3965,"I gotta get with it (Ooh, ooh, oooh)
"
3966,"And my head keeps spinning
"
3967,"I can't stop having these visions
"
3968,"I gotta get with it (Ooh, ooh, oooh)
"
3969,"Ooh-hoo
"
3970,"Ooh-hoo
"
3971,"Ooh-hoo
"
3972,"And I, and I can't stop
"
3973,"No, no, I can't stop
"
3974,"No, no, no, no, I can't stop
"
3975,"No, no, no, no, I can't stop
"
3976,"Can't stop, I can't stop, I can't stop
"
3977,"No, no, no, no
"
3978,"No, no, no, no
"
3979,"No, no, no, no
"
3980,"No, no, I can't stop
"
3981,"No, can't stop having these visions
"
3982,"I gotta get with it
"
3983,"Ooh, ooh, oooh
"
3984,"Hoo-hoo, ho-ho-hoo
"
3985,"Ooh-hoo
"
3986,"In the night, I hear 'em talk
"
3987,"The coldest story ever told
"
3988,"Somewhere far along this road
"
3989,"He lost his soul to a woman so heartless
"
3990,"How could you be so heartless?
"
3991,"Oh, how could you be so heartless?
"
3992,"How could you be so
"
3993,"Cold as the winter wind when it breeze, yo?
"
3994,"Just remember that you talkin' to me though
"
3995,"You need to watch the way you talkin' to me, yo
"
3996,"I mean, after all the things that we been through
"
3997,"I mean, after all the things we got into
"
3998,"Ayo, I know of some things that you ain't told me
"
3999,"Ayo, I did some things but that's the old me
"
4000,"And now you wanna get me back and you gon' show me
"
4001,"So you walk around like you don't know me
"
4002,"You got a new friend, well, I got homies
"
4003,"But in the end, it's still so lonely
"
4004,"In the night, I hear 'em talk
"
4005,"The coldest story ever told
"
4006,"Somewhere far along this road
"
4007,"He lost his soul to a woman so heartless
"
4008,"How could you be so heartless?
"
4009,"Oh, how could you be so heartless?
"
4010,"How could you be so Dr. Evil?
"
4011,"You're bringin' out a side of me that I don't know
"
4012,"I decided we wasn't gon' speak so
"
4013,"Why we up 3 AM on the phone?
"
4014,"Why do she be so mad at me fo'?
"
4015,"Homie, I don't know, she's hot and cold
"
4016,"I won't stop, won't mess my groove up
"
4017,"‘Cause I already know how this thing go
"
4018,"You run and tell your friends that you're leavin' me
"
4019,"They say that they don't see what you see in me
"
4020,"You wait a couple of months, then you gon' see
"
4021,"You'll never find nobody better than me
"
4022,"In the night, I hear 'em talk (Me)
"
4023,"The coldest story ever told
"
4024,"Somewhere far along this road
"
4025,"He lost his soul to a woman so heartless
"
4026,"How could you be so heartless?
"
4027,"Oh, how could you be so heartless?
"
4028,"Talk and talk and talk and talk
"
4029,"Baby, let's just knock it off
"
4030,"They don't know what we been through
"
4031,"They don't know 'bout me and you
"
4032,"So I got somethin' new to see
"
4033,"And you just gon' keep hatin' me
"
4034,"And we just gon' be enemies
"
4035,"I know you can't believe
"
4036,"I could just leave it wrong
"
4037,"And you can't make it right
"
4038,"I'm gon' take off tonight into the night
"
4039,"In the night, I hear 'em talk
"
4040,"The coldest story ever told
"
4041,"Somewhere far along this road
"
4042,"He lost his soul to a woman so heartless
"
4043,"How could you be so heartless? (How, how?)
"
4044,"Oh, how could you be so heartless?
"
4045,"On and on and on and on
"
4046,"And on and, and on and on and on
"
4047,"It's amazing, I'm the reason
"
4048,"Everybody fired up this evening
"
4049,"I'm exhausted, barely breathing
"
4050,"Holding on to what I believe in
"
4051,"No matter what, you'll never take that from me
"
4052,"My reign is as far as your eyes can see, it's amazing
"
4053,"So amazing, so amazing, so amazing, it's amazing
"
4054,"So amazing, so amazing, so amazing, it's amazing
"
4055,"I'm a monster, I'm a killer
"
4056,"I know I'm wrong, yeah
"
4057,"I'm a problem
"
4058,"That'll never ever be solved
"
4059,"And no matter what, you'll never take that from me
"
4060,"My reign is as far as your eyes can see, it's amazing
"
4061,"So amazing, so amazing, so amazing, it's amazing
"
4062,"So amazing, so amazing, so amazing, it's amazing
"
4063,"I'm a monster, I'm a maven
"
4064,"I know this world is changing
"
4065,"Never gave in, never gave up
"
4066,"I'm the only thing I'm afraid of
"
4067,"No matter what, you'll never take that from me
"
4068,"My reign is as far as your eyes can see, it's amazing
"
4069,"So amazing, so amazing, so amazing, it's amazing
"
4070,"So amazing, so amazing, so amazing, it's amazing
"
4071,"So amazing, so amazing, so amazing, it's amazing
"
4072,"So amazing, so amazing, so amazing, it's amazing
"
4073,"I'm amazing (Amazing) yeah I'm all that (All that)
"
4074,"If I ain't on my grind, then what you call that? (What you call that?)
"
4075,"Victorious, yeah we warriors
"
4076,"We make history, strive off victory (Yeah)
"
4077,"Standing at my podium, I'm trying to watch my sodium
"
4078,"Die high blood pressure, either let the Feds catch ya (Yeah)
"
4079,"I'm amazing, born on a full moon
"
4080,"I was bred to get it in, no spoon
"
4081,"That's why I'm so goon, summertime, no June
"
4082,"Big family, small house, no room
"
4083,"They like ""Oh God, why he go so hard?
"
4084,"Look what he's been through, he deserves an applause""
"
4085,"So amazing, so amazing, so amazing, it's amazing
"
4086,"So amazing, so amazing, so amazing, it's amazing
"
4087,"So amazing, so amazing, so amazing, it's amazing
"
4088,"So amazing, so amazing, so amazing, it's amazing
"
4089,"I'm not loving you, way I wanted to
"
4090,"What I had to do, had to run from you
"
4091,"I'm in love with you, but the vibe is wrong
"
4092,"And that haunted me, all the way home
"
4093,"So you never know, never never know
"
4094,"Never know enough, 'til it's over love
"
4095,"'Til we lose control, system overload
"
4096,"Screaming, ""No, no, no, n-nooo!""
"
4097,"I'm not loving you, way I wanted to
"
4098,"See I wanna move, but can't escape from you
"
4099,"So I keep it low, keep a secret code
"
4100,"So everybody else don't have to know
"
4101,"So keep your love lockdown—your love lockdown
"
4102,"Keeping your love lockdown—your love lockdown
"
4103,"Now keep your love lockdown—your love lockdown
"
4104,"Now keep your love lockdown—you lose
"
4105,"I'm not loving you, way I wanted to
"
4106,"I can't keep my cool, so I keep it true
"
4107,"I got something to lose, so I gotta move
"
4108,"I can't keep myself, and still keep you too
"
4109,"So I keep in mind, when I'm on my own
"
4110,"Somewhere far from home, in the danger zone
"
4111,"How many times did I tell you 'fore it finally got through?
"
4112,"You lose, you lose
"
4113,"I'm not loving you, way I wanted to
"
4114,"See I had to go, see I had to move
"
4115,"No more wasting time, you can't wait for life
"
4116,"We're just racing time, where's the finish line?
"
4117,"So keep your love lockdown—your love lockdown
"
4118,"Keeping your love lockdown—your love lockdown
"
4119,"Now keep your love lockdown—your love lockdown
"
4120,"Now keep your love lockdown—you lose
"
4121,"I'm not loving you, way I wanted to
"
4122,"I bet no one knew, I got no one new
"
4123,"Know I said I'm through, but got love for you
"
4124,"But I'm not loving you, the way I wanted to
"
4125,"Gotta keep it going, keep the loving going
"
4126,"Keep it on the roll, only God knows
"
4127,"If I be with you, baby I'm confused
"
4128,"You choose, you choose
"
4129,"I'm not loving you, way I wanted to
"
4130,"Where I wanna go, I don't need you
"
4131,"I've been down this road, too many times before
"
4132,"I'm not loving you, way I wanted to
"
4133,"So keep your love lockdown—your love lockdown
"
4134,"Keeping your love lockdown—your love lockdown
"
4135,"Now keep your love lockdown—your love lockdown
"
4136,"Now keep your love lockdown—you lose
"
4137,"You lose, you lose
"
4138,"You lose, you lose
"
4139,"She really thought that? (Yeah)
"
4140,"Yeah, she's so paranoid (Yeah, that's good, paranoid)
"
4141,"Girls gonna love this song, ahaha
"
4142,"Why are you so paranoid? (Aha-ha-ha-ha-ha)
"
4143,"Don't be so paranoid, don't be so
"
4144,"Baby, don't worry 'bout it
"
4145,"Hey there, don't even think about it
"
4146,"You worry 'bout the wrong things, the wrong things
"
4147,"You worry 'bout the wrong things, the wrong things
"
4148,"You worry 'bout the wrong things, the wrong things
"
4149,"You worry 'bout the wrong things, the wrong things
"
4150,"Tell me right now
"
4151,"You really wanna spend your whole life alone?
"
4152,"A little time out might do you good
"
4153,"Might do us good 'fore we be done for good
"
4154,"'Cause I could make it good, I could make it hood
"
4155,"I could make you come, I could make you go
"
4156,"I could make you high, I can make you fly
"
4157,"Make you touch the sky, hey, maybe so
"
4158,"All of the time
"
4159,"You be up in mine checkin' through my cell phone, baby, no
"
4160,"You wanna kill the vibe on another night
"
4161,"Here's another fight, oh, here we go (Oh, here we go)
"
4162,"Baby, don't worry about it
"
4163,"Lady, we'll go out to the floor
"
4164,"Anyway, they don't know you (They don't know) like I do
"
4165,"They'll never know you (Never know)
"
4166,"Anyway, they don't know you (Never know) like I do
"
4167,"They'll never know you
"
4168,"All of the time
"
4169,"You wanna complain about the nights alone
"
4170,"So now you're here with me, show some gratitude
"
4171,"Leave the attitude way back at home
"
4172,"Yeah, you see 'em look
"
4173,"Baby, let 'em look, give ya cold looks 'cause we look cold
"
4174,"Yeah, you heard about all the word of mouth
"
4175,"Don't worry about what we can't control
"
4176,"All the talk in the world lost in the world
"
4177,"'Til you finally let that thing go
"
4178,"You wanna check into the heartbreak hotel
"
4179,"But sorry, we're closed
"
4180,"Baby, don't worry about it
"
4181,"Baby, we'll go out to the floor
"
4182,"Anyway (Hey) they don't know you (To the floor) like I do (Hey)
"
4183,"They'll never know you (Never know)
"
4184,"Anyway, they don't know you (They don't know) like I do
"
4185,"They'll never know you
"
4186,"Baby, don't worry about it
"
4187,"Lady, don't even think about it
"
4188,"You worry 'bout the wrong things, the wrong things
"
4189,"You worry 'bout the wrong things, the wrong things
"
4190,"You worry 'bout the wrong things, the wrong things
"
4191,"You worry 'bout the wrong things, the wrong things
"
4192,"Anyway, they don't know you like I do
"
4193,"They'll never know you
"
4194,"Anyway, they don't know you like I do
"
4195,"They'll never know you
"
4196,"Anyway, they don't know you like I do
"
4197,"They'll never know you
"
4198,"Anyway, they don't know you like I do
"
4199,"They'll never know you
"
4200,"'Bout the baddest girl I ever seen
"
4201,"Straight up out a movie scene
"
4202,"Who knew she was a drama queen
"
4203,"That'd turn my life to Stephen King's?
"
4204,"Up late night like she on patrol
"
4205,"Checking everything like I'm on parole
"
4206,"I told her there's some things she don't need to know
"
4207,"She never let it go, oh
"
4208,"Okay, okay, okay, okay
"
4209,"You will never stop it now
"
4210,"You never stop it now
"
4211,"Okay, okay, okay
"
4212,"You will never stop it now
"
4213,"You need to drop it now
"
4214,"Drop it, drop it
"
4215,"'Cause I don't want no RoboCop
"
4216,"You moving like a RoboCop
"
4217,"When did you become a RoboCop?
"
4218,"Now I don't need no RoboCop
"
4219,"Just looking at your history
"
4220,"You're like the girl from Misery
"
4221,"She said she ain't take it to this degree
"
4222,"Well let's agree to disagree
"
4223,"Shorty kind of crazy but it turn me on
"
4224,"Keep it up enough to keep it going on
"
4225,"I told her there's some things she don't need to know
"
4226,"She never let it go, oh
"
4227,"Okay, okay, okay, okay
"
4228,"You will never stop it now
"
4229,"You never stop it now
"
4230,"Okay, okay, okay
"
4231,"You will never stop it now
"
4232,"You need to drop it now
"
4233,"Drop it, drop it
"
4234,"'Cause I don't want no RoboCop
"
4235,"You moving like a RoboCop
"
4236,"When did you become a RoboCop?
"
4237,"Somebody please make her stop
"
4238,"Stop, drop, roll, pop
"
4239,"Bitch, I'm cold
"
4240,"I ain't used to being told, ""Stop""
"
4241,"So I could never be your robot
"
4242,"Fast or slow, you can stay or can go
"
4243,"Now, now that you know
"
4244,"Now, now that you know
"
4245,"Yeah I had her before but that happened before
"
4246,"You get mad when you know so just don't ask me no more
"
4247,"Okay, okay, okay, uh, uh
"
4248,"It ain't okay, okay, okay, uh
"
4249,"You spoiled little LA girl
"
4250,"You're just an LA girl
"
4251,"You spoiled little LA girl
"
4252,"You're just an LA girl
"
4253,"You spoiled little LA girl
"
4254,"You're just an LA girl (You need to stop it now)
"
4255,"You spoiled little LA girl
"
4256,"You're just an LA girl (You need to stop it now)
"
4257,"Oh you're kidding me
"
4258,"You must be joking
"
4259,"Or you are smoking
"
4260,"Oh oh you're kidding me
"
4261,"Oh you're kidding me
"
4262,"Haha, that was a good one
"
4263,"Your first good one in a while
"
4264,"Your first good one in a while
"
4265,"You need to stop it now
"
4266,"You need to stop it now
"
4267,"Oh you need to stop it now
"
4268,"Let me know
"
4269,"Do I still got time to grow?
"
4270,"Things ain't always set in stone
"
4271,"That be known let me know
"
4272,"Let me...
"
4273,"Seems like street lights, glowing, happen to be
"
4274,"Just like moments, passing, in front of me
"
4275,"So I hopped in the cab and I paid my fare
"
4276,"See I know my destination, but I'm just not there
"
4277,"All the street lights, glowing, happen to be
"
4278,"Just like moments, passing, in front of me
"
4279,"So I hopped in the cab and I paid my fare
"
4280,"See I know my destination, but I'm just not there
"
4281,"In the streets
"
4282,"In the streets
"
4283,"I'm just not there in the streets
"
4284,"I'm just not there
"
4285,"Life's just not fair
"
4286,"Seems like street lights, glowing, happen to be
"
4287,"Just like moments, passing, in front of me
"
4288,"So I hopped in the cab and I paid my fare
"
4289,"See I know my destination, but I'm just not there
"
4290,"All the street lights, glowing, happen to be
"
4291,"Just like moments, passing, in front of me
"
4292,"So I hopped in the cab and I paid my fare
"
4293,"See I know my destination, but I'm just not there
"
4294,"All the street lights, glowing, happen to be
"
4295,"Just like moments, passing, in front of me
"
4296,"So I hopped in the cab and I paid my fare
"
4297,"See I know my destination, but I'm just not there
"
4298,"In the streets
"
4299,"In the streets
"
4300,"I'm just not there in the streets
"
4301,"I'm just not there
"
4302,"Life's just not fair
"
4303,"Life's just not fair
"
4304,"Didn't you know, I was waiting on you
"
4305,"Waiting on a dream that'll never come true
"
4306,"Didn't you know, I was waiting on you
"
4307,"My face turned to stone when I heard the news
"
4308,"When you decide to break the rules
"
4309,"'Cause I just heard some real bad news
"
4310,"People'll talk like it's old news
"
4311,"I played it off and act like I already knew
"
4312,"Let me ask you how long have you known dude
"
4313,"You played it off and act like he's brand new
"
4314,"When you decide, to break the rules
"
4315,"'Cause I just heard some real bad news
"
4316,"Real bad news
"
4317,"Real bad news
"
4318,"Real bad news
"
4319,"Oh, you just gon' keep another no you won't
"
4320,"Oh, you just gon' keep it like you never knew
"
4321,"Oh, you just gon' keep another love for you
"
4322,"Oh, you just gon' keep it like you never knew
"
4323,"While I'm waiting on a dream that'll never come true
"
4324,"Oh, you just gon' keep it like you never knew
"
4325,"My face turned to stone when I heard the news
"
4326,"What's on the news?
"
4327,"Channel cruise
"
4328,"I'm cold! (Yeah)
"
4329,"I'm cold! (Yeah)
"
4330,"I'm cold! (Yeah, yeah)
"
4331,"I got the right, to put up a fight
"
4332,"But not quite, 'cause you cut off my light
"
4333,"But my sight, is better tonight
"
4334,"And I might, see you in my nightmare
"
4335,"Ooh, how did you get there?
"
4336,"'Cause we were once a fairy tale
"
4337,"But this is farewell, yeah
"
4338,"I got my life, and it's my only one
"
4339,"I got the night, I'm running from the sun
"
4340,"So good night, I'm headed out the door
"
4341,"Door, door, door, door
"
4342,"After tonight, there will be no return
"
4343,"After tonight, I'm taking off on the road
"
4344,"I'm taking off on the road
"
4345,"And that you know
"
4346,"That you know
"
4347,"Tell everybody that you know
"
4348,"That I don't love you no more
"
4349,"And that's one thing that you know, that you know
"
4350,"Okay, I'm back up on my grind
"
4351,"You do you and I'm just gon' do mine
"
4352,"You do you 'cause I'm just gon' be fine
"
4353,"Okay, I got you out my mind
"
4354,"And the night is young, the drinks is cold
"
4355,"The stars is out, I'm ready to go
"
4356,"You always thought I was always wrong
"
4357,"Well, now you know
"
4358,"Tell everybody, everybody that you know
"
4359,"Tell everybody that you know
"
4360,"That I don't love you no more
"
4361,"And that's one thing that you know, that you know
"
4362,"I got the right, to put up a fight
"
4363,"But not quite, 'cause you cut off my light
"
4364,"But my sight, is better tonight
"
4365,"And I might, see you in my nightmare
"
4366,"Ooh, how did you'd get there?
"
4367,"'Cause we were once a fairy tale
"
4368,"But this is farewell, yeah
"
4369,"Baby girl I'm finished, I thought we were committed
"
4370,"I thought we were cemented, I really thought we meant it
"
4371,"But now we just repent it, and now we just resent it
"
4372,"The clouds is in my vision, look how high that I be getting
"
4373,"And it's all because of you, girl we through
"
4374,"You think your shit don't stank but you are Mrs. P-U
"
4375,"And I don't see you with me no more
"
4376,"Now tell everybody that you know, that you know
"
4377,"That you know
"
4378,"Tell everybody that you know
"
4379,"That I don't love you no more
"
4380,"And that's one thing that you know, that you know
"
4381,"That you know
"
4382,"Tell everybody that you know
"
4383,"That I don't love you no more
"
4384,"And that's one thing that you know, that you know
"
4385,"On lonely nights, I start to fade
"
4386,"On lonely nights, I start to fade
"
4387,"Her love's a thousand miles away
"
4388,"Her love's a thousand miles away
"
4389,"Memories made in the coldest winter
"
4390,"Goodbye my friend, will I ever love again?
"
4391,"Memories made in the coldest winter
"
4392,"It's 4 a.m. and I can't sleep
"
4393,"It's 4 a.m. and I can't sleep
"
4394,"Her love is all that I can see
"
4395,"Her love is all that I can see
"
4396,"Memories made in the coldest winter
"
4397,"Goodbye my friend, will I ever love again?
"
4398,"Memories made in the coldest winter, winter, winter
"
4399,"Goodbye my friend, will I ever love again?
"
4400,"Goodbye my friend, will I ever love again?
"
4401,"Goodbye my friend, will I ever love again?
"
4402,"If spring can take the snow away
"
4403,"If spring can take the snow away
"
4404,"Can it melt away all our mistakes
"
4405,"Can it melt away all our mistakes
"
4406,"Memories made in the coldest winter
"
4407,"Goodbye my friend, I won't ever love again
"
4408,"Never again
"
4409,"Wise man say, wise man say
"
4410,"Wise man say
"
4411,"You'll never figure out real love
"
4412,"Never figure out real love
"
4413,"You'll never figure out real love
"
4414,"It's so crazy, crazy-crazy
"
4415,"I got everything figured out
"
4416,"But for some reason
"
4417,"I can never find what real love is about, no doubt
"
4418,"Everything in the world figured out
"
4419,"But I can never seem to find what real love was about
"
4420,"Do you think I'd sacrifice, real life
"
4421,"For all the fame, and flashing lights?
"
4422,"Do you think I'd sacrifice, a real life
"
4423,"For all the fame, and flashing lights?
"
4424,"There is no Gucci I can buy
"
4425,"There is no Louis Vuitton to put on
"
4426,"There is no YSL that they could sell
"
4427,"To get my heart out of this hell, and my mind out of this jail
"
4428,"There is no clothes that I could buy
"
4429,"That could turn, back in time
"
4430,"There is no vacation spot I could fly
"
4431,"That could bring back a piece of real life
"
4432,"Real life, what does it feel like?
"
4433,"I ask you tonight, I ask you tonight
"
4434,"What does it feel like? I ask you tonight
"
4435,"To live a real life
"
4436,"I just wanna be a real boy
"
4437,"They always say ""Kanye, he keeps it real boy""
"
4438,"Pinocchio's story is, I just wanna be a real boy
"
4439,"Pinocchio's story goes, to be a real boy
"
4440,"It's funny
"
4441,"Pinocchio lied, and that's what kept him from it
"
4442,"I tell the truth, and I keep running
"
4443,"It's like I'm lookin for something out there, tryna find something
"
4444,"I turn on the TV, and see me, and see nothing
"
4445,"What does it feel like, to live real life, to be real?
"
4446,"Not some facade on TV that no one can really feel
"
4447,"Do you really have the stamina?
"
4448,"For everybody that sees you that say, ""Where's my camera?""
"
4449,"For everybody that sees you to say, ""Sign a autograph""
"
4450,"For everybody that sees you cryin that say you oughta laugh
"
4451,"You oughta laugh
"
4452,"I just wanna be a real boy, Pinocchio's story goes
"
4453,"I just wanna be a real boy, Pinocchio's story goes
"
4454,"And there is no Gepetto, to guide me
"
4455,"No one, right beside me
"
4456,"The only one, was behind me
"
4457,"I can't find her no more, I can't call her no more
"
4458,"I can't...
"
4459,"The only one that come out on the tour and stays
"
4460,"Back when I was livin' at home and this was all a big dream
"
4461,"And the fame will be get got
"
4462,"And the day I moved to L.A., maybe that was all my fault
"
4463,"All my fault to be a real boy, chasin' the American dream
"
4464,"Chasin' everything we seen, up on the TV screen
"
4465,"And when uh, the Benz was left
"
4466,"And the clothes was left, and the hoes was left
"
4467,"You talk the hoes to death, thinkin' the money that the-
"
4468,"You spend the dough to death
"
4469,"And tell me what be left, for a real boy!
"
4470,"They say ""Kanye, you keep it too real boy""
"
4471,"Perspective, and wise man say
"
4472,"One day, you'll find your way
"
4473,"The wise man say, you'll find your way
"
4474,"The wise man say, you'll find your way
"
4475,"Wise man say
"
4476,"Uhh.. uhh
"
4477,"Uhh.. uhh
"
4478,"Good morning!
"
4479,"Good morning!
"
4480,"Good morning!
"
4481,"Good morning!
"
4482,"Wake up Mr. West, Mr. West
"
4483,"Mr. Fresh, Mister, by himself he's so impressed
"
4484,"I mean damn, did you even see the test?
"
4485,"You got D's, muthafucka D's, Rosie Perez
"
4486,"And yer ass barely passed any and every class
"
4487,"Looking at every ass, cheated on every test
"
4488,"I guess, this is my dissertation
"
4489,"Homie this shit is basic, welcome to Graduation
"
4490,"Good morning!
"
4491,"Good morning!
"
4492,"Good morning!
"
4493,"Good morning!
"
4494,"Good morning, on this day we become legendary
"
4495,"Everything we dreamed of
"
4496,"I'm like the fly Malcolm X, buy any jeans necessary
"
4497,"Detroit Red cleaned up
"
4498,"From the streets to the league, from an eighth to a key
"
4499,"But you graduate when you make it up outta the streets
"
4500,"From the moments of pain, look how far we done came
"
4501,"Haters saying you changed, now you doing your thang
"
4502,"Good morning!
"
4503,"Good morning!
"
4504,"Good morning!
"
4505,"Good morning!
"
4506,"Good morning, look at the valedictorian
"
4507,"Scared of the future while I hop in the DeLorean
"
4508,"Scared to face the world, complacent career student
"
4509,"Some people graduate, but be still stupid
"
4510,"They tell you read this, eat this, don't look around
"
4511,"Just peep this, preach this, teach us, Jesus
"
4512,"Okay look up now, they done stole yo' streetness
"
4513,"After all of that you received this
"
4514,"Good morning!
"
4515,"Hustlers that's if you're still living, get on down
"
4516,"Every time that we hear them
"
4517,"Good morning!
"
4518,"Hustlers that's if you're still living, get on down
"
4519,"Every time that we hear them
"
4520,"Good morning!
"
4521,"Hustlers that's if you're still living, get on down
"
4522,"Every time that we hear them
"
4523,"Good morning!
"
4524,"Hustlers that's if you're still living, get on down
"
4525,"Get on down
"
4526,"Get, get on down
"
4527,"Get on down
"
4528,"Get, get on down
"
4529,"Did you realize
"
4530,"That you were a champion in their eyes?
"
4531,"Yes, I did
"
4532,"So I packed it up and brought it back to the crib
"
4533,"Just a little something, show you how we live
"
4534,"Everybody want it but it ain't that serious
"
4535,"Mhm, that's that shit
"
4536,"So if you gon' do it, do it just like this
"
4537,"Did you realize
"
4538,"That you were a champion in their eyes?
"
4539,"You don't see just how wild the crowd is
"
4540,"You don't see just how fly my style is
"
4541,"I don't see why I need a stylist
"
4542,"When I shop so much I can speak Italian
"
4543,"I don't know, I just want it better for my kids
"
4544,"And I ain't sayin' we was from the projects
"
4545,"But every time I wanted layaway or a deposit
"
4546,"My dad'd say ""when you see clothes, close your eyelids""
"
4547,"We was sort of like Will Smith and his son
"
4548,"In the movie, I ain't talkin' 'bout the rich ones
"
4549,"Cause every summer, he'd get some
"
4550,"Brand new harebrained scheme to get rich from
"
4551,"And I don't know what he did for dough
"
4552,"But he'd send me back to school with a new wardrobe
"
4553,"Did you realize
"
4554,"That you were a champion in their eyes?
"
4555,"I think he did
"
4556,"When he packed it up and brought it back to the crib
"
4557,"Just a little somethin', show you how we live
"
4558,"Everything I wanted, man it seem so serious
"
4559,"Mhm, that's that shit
"
4560,"So if you gon' do it, do it just like this
"
4561,"Did you realize
"
4562,"That you were a champion in their eyes?
"
4563,"When it feel like living's harder than dyin'
"
4564,"For me givin' up's way harder than tryin'
"
4565,"Lauryn Hill said her heart was in Zion
"
4566,"I wish her heart still was in rhymin'
"
4567,"'Cause who the kids gon' listen to, huh?
"
4568,"I guess me if it isn't you
"
4569,"Last week I paid a visit to the institute
"
4570,"They got the dropout keepin' kids in the school
"
4571,"I guess I cleaned up my act like Prince'd do
"
4572,"If not for pleasure, then at least for the principle
"
4573,"They got the CD, they got to see me
"
4574,"Drop gems like I dropped out of PE
"
4575,"They used to feel invisible
"
4576,"Now they know they invincible
"
4577,"Did you realize
"
4578,"That you were a champion in their eyes?
"
4579,"This is the story of a champion
"
